Country Name,2024
Aruba,107995
Africa Eastern and Southern,7.69E+08
Afghanistan,42647492
Africa Western and Central,5.22E+08
Angola,37885849
Albania,2377128
Andorra,81938
Arab World,4.93E+08
United Arab Emirates,10986400
Argentina,45696159
Armenia,3033500
American Samoa,46765
Antigua and Barbuda,93772
Australia,27196812
Austria,9177982
Azerbaijan,10202830
Burundi,14047786
Belgium,11858610
Benin,14462724
Burkina Faso,23548781
Bangladesh,1.74E+08
Bulgaria,6441421
Bahrain,1588670
"Bahamas, The",401283
Bosnia and Herzegovina,3164253
Belarus,9132629
Belize,417072
Bermuda,64636
Bolivia,12413315
Brazil,2.12E+08
Barbados,282467
Brunei Darussalam,462721
Bhutan,791524
Botswana,2521139
Central African Republic,5330690
Canada,41288599
Central Europe and the Baltics,1.00E+08
Switzerland,9005582
Channel Islands,168126
Chile,19764771
China,1.41E+09
Cote d'Ivoire,31934230
Cameroon,29123744
"Congo, Dem. Rep.",1.09E+08
"Congo, Rep.",6332961
Colombia,52886363
Comoros,866628
Cabo Verde,524877
Costa Rica,5129910
Caribbean small states,4539060
Cuba,10979783
Curacao,155967
Cayman Islands,74457
Cyprus,1358282
Czechia,10905028
Germany,83516593
Djibouti,1168722
Dominica,66205
Denmark,5976992
Dominican Republic,11427557
Algeria,46814308
East Asia & Pacific (excluding high income),2.14E+09
Early-demographic dividend,3.55E+09
East Asia & Pacific,2.39E+09
Europe & Central Asia (excluding high income),2.50E+08
Europe & Central Asia,9.28E+08
Ecuador,18135478
"Egypt, Arab Rep.",1.17E+08
Euro area,3.51E+08
Eritrea,3535603
Spain,48848840
Estonia,1372341
Ethiopia,1.32E+08
European Union,4.50E+08
Fragile and conflict affected situations,1.08E+09
Finland,5619911
Fiji,928784
France,68551653
Faroe Islands,54681
"Micronesia, Fed. Sts.",113160
Gabon,2538952
United Kingdom,69226000
Georgia,3699557
Ghana,34427414
Gibraltar,39329
Guinea,14754785
"Gambia, The",2759988
Guinea-Bissau,2201352
Equatorial Guinea,1892516
Greece,10405134
Grenada,117207
Greenland,56836
Guatemala,18406359
Guam,167777
Guyana,831087
High income,1.42E+09
"Hong Kong SAR, China",7524100
Honduras,10825703
Heavily indebted poor countries (HIPC),9.41E+08
Croatia,3866200
Haiti,11772557
Hungary,9562065
IBRD only,4.98E+09
IDA & IBRD total,6.93E+09
IDA total,1.95E+09
IDA blend,6.77E+08
Indonesia,2.83E+08
IDA only,1.27E+09
Isle of Man,84160
India,1.45E+09
Not classified,
Ireland,5395790
"Iran, Islamic Rep.",91567738
Iraq,46042015
Iceland,386506
Israel,9974400
Italy,58952704
Jamaica,2839175
Jordan,11552876
Japan,1.24E+08
Kazakhstan,20592571
Kenya,56432944
Kyrgyz Republic,7221868
Cambodia,17638801
Kiribati,134518
St. Kitts and Nevis,46843
"Korea, Rep.",51751065
Kuwait,4897263
Latin America & Caribbean (excluding high income),5.94E+08
Lao PDR,7769819
Lebanon,5805962
Liberia,5612817
Libya,7381023
St. Lucia,179744
Latin America & Caribbean,6.62E+08
Least developed countries: UN classification,1.19E+09
Low income,6.25E+08
Liechtenstein,40450
Sri Lanka,21916000
Lower middle income,3.12E+09
Low & middle income,6.56E+09
Lesotho,2337423
Late-demographic dividend,2.33E+09
Lithuania,2888278
Luxembourg,677012
Latvia,1866124
"Macao SAR, China",687000
St. Martin (French part),26129
Morocco,38081173
Monaco,38631
Moldova,2402306
Madagascar,31964956
Maldives,527799
"Middle East, North Africa, Afghanistan & Pakistan",8.13E+08
Mexico,1.31E+08
Marshall Islands,37548
Middle income,5.94E+09
North Macedonia,1824359
Mali,24478595
Malta,568847
Myanmar,54500091
"Middle East, North Africa, Afghanistan & Pakistan (excluding high income)",7.42E+08
Montenegro,623525
Mongolia,3524788
Northern Mariana Islands,44278
Mozambique,34631766
Mauritania,5169395
Mauritius,1245779
Malawi,21655286
Malaysia,35557673
North America,3.81E+08
Namibia,3030131
New Caledonia,292639
Niger,27032412
Nigeria,2.33E+08
Nicaragua,6916140
Netherlands,17993485
Norway,5572279
Nepal,29651054
Nauru,11947
New Zealand,5287500
OECD members,1.40E+09
Oman,5281538
Other small states,12931878
Pakistan,2.51E+08
Panama,4515577
Peru,34217848
Philippines,1.16E+08
Palau,17695
Papua New Guinea,10576502
Poland,36559233
Pre-demographic dividend,1.11E+09
Puerto Rico (US),3203295
"Korea, Dem. People's Rep.",26498823
Portugal,10694681
Paraguay,6929153
West Bank and Gaza,5289152
Pacific island small states,2722467
Post-demographic dividend,1.13E+09
French Polynesia,281807
Qatar,2857822
Romania,19051804
Russian Federation,1.44E+08
Rwanda,14256567
South Asia,1.68E+09
Saudi Arabia,35300280
Sudan,50448963
Senegal,18501984
Singapore,6036860
Solomon Islands,819198
Sierra Leone,8642022
El Salvador,6338193
San Marino,33977
"Somalia, Fed. Rep.",19009151
Serbia,6586476
Sub-Saharan Africa (excluding high income),1.16E+09
South Sudan,11943408
Sub-Saharan Africa,1.29E+09
Small states,20193405
Sao Tome and Principe,235536
Suriname,634431
Slovak Republic,5422069
Slovenia,2127400
Sweden,10569709
Eswatini,1242822
Sint Maarten (Dutch part),43350
Seychelles,121354
Syrian Arab Republic,24672760
Turks and Caicos Islands,46535
Chad,20299123
East Asia & Pacific (IDA & IBRD countries),2.11E+09
Europe & Central Asia (IDA & IBRD countries),4.60E+08
Togo,9515236
Thailand,71668011
Tajikistan,10590927
Turkmenistan,7494498
Latin America & the Caribbean (IDA & IBRD countries),6.47E+08
Timor-Leste,1400638
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",7.36E+08
Tonga,104175
South Asia (IDA & IBRD),1.68E+09
Sub-Saharan Africa (IDA & IBRD countries),1.29E+09
Trinidad and Tobago,1368333
Tunisia,12277109
Turkiye,85518661
Tuvalu,9646
Tanzania,68560157
Uganda,50015092
Ukraine,37860221
Upper middle income,2.82E+09
Uruguay,3386588
United States,3.40E+08
Uzbekistan,36361859
St. Vincent and the Grenadines,100616
"Venezuela, RB",28405543
British Virgin Islands,39471
Virgin Islands (U.S.),104377
Viet Nam,1.01E+08
Vanuatu,327777
World,8.14E+09
Samoa,218019
Kosovo,1594353
"Yemen, Rep.",40583164
South Africa,64007187
Zambia,21314956
Zimbabwe,16634373
